"row","col","value"
"0624 Pvalb Gaba_4","004 L6 IT CTX Glut",0
"0628 Pvalb Gaba_4","004 L6 IT CTX Glut",0
"0625 Pvalb Gaba_5","004 L6 IT CTX Glut",0
"0638 Sst Gaba_1","004 L6 IT CTX Glut",0
"0641 Sst Gaba_12","004 L6 IT CTX Glut",0
"0631 Sst Gaba_13","004 L6 IT CTX Glut",0
"0664 Sst Gaba_4","004 L6 IT CTX Glut",0
"0666 Sst Gaba_4","004 L6 IT CTX Glut",0
"0668 Sst Gaba_4","004 L6 IT CTX Glut",0
"0669 Sst Gaba_4","004 L6 IT CTX Glut",0
"0665 Sst Gaba_11","004 L6 IT CTX Glut",0
"0675 Sst Gaba_5","004 L6 IT CTX Glut",0
"0677 Sst Gaba_5","004 L6 IT CTX Glut",0
"0673 Sst Gaba_16","004 L6 IT CTX Glut",0
"0688 Sst Gaba_7","004 L6 IT CTX Glut",0
"0697 Sst Gaba_8","004 L6 IT CTX Glut",0
"0695 Sst Gaba_10","004 L6 IT CTX Glut",0
"0731 Sst Chodl Gaba_4","004 L6 IT CTX Glut",0
"5113 Astro-TE NN_3","004 L6 IT CTX Glut",0
"5146 OPC NN_1","004 L6 IT CTX Glut",0
"5150 COP NN","004 L6 IT CTX Glut",0
"5152 COP NN","004 L6 IT CTX Glut",0
"5155 MFOL NN","004 L6 IT CTX Glut",0
"5158 MOL NN","004 L6 IT CTX Glut",0
"5182 Peri NN","004 L6 IT CTX Glut",0
"5188 Endo NN","004 L6 IT CTX Glut",0
"5190 Microglia NN","004 L6 IT CTX Glut",0
"0004 Car3 Glut_1","005 L5 IT CTX Glut",0
"0026 L5/6 IT TPE-ENT Glut_2","005 L5 IT CTX Glut",0
"0029 L5/6 IT TPE-ENT Glut_3","005 L5 IT CTX Glut",0
"0034 L6 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0035 L6 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0036 L6 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0037 L6 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0038 L6 IT CTX Glut_2","005 L5 IT CTX Glut",0.356435643564356
"0041 L6 IT CTX Glut_2","005 L5 IT CTX Glut",0.00333333333333333
"0042 L6 IT CTX Glut_2","005 L5 IT CTX Glut",0.0333333333333333
"0044 L6 IT CTX Glut_3","005 L5 IT CTX Glut",0.508130081300813
"0049 L6 IT CTX Glut_4","005 L5 IT CTX Glut",0.015625
"0053 L6 IT CTX Glut_5","005 L5 IT CTX Glut",0
"0054 L6 IT CTX Glut_5","005 L5 IT CTX Glut",0.114942528735632
"0055 L5 IT CTX Glut_1","005 L5 IT CTX Glut",0.58
"0056 L5 IT CTX Glut_1","005 L5 IT CTX Glut",0.755681818181818
"0061 L5 IT CTX Glut_3","005 L5 IT CTX Glut",0.546666666666667
"0065 L5 IT CTX Glut_5","005 L5 IT CTX Glut",0.00666666666666667
"0069 L4/5 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0072 L4/5 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0075 L4/5 IT CTX Glut_2","005 L5 IT CTX Glut",0.00606060606060606
"0076 L4/5 IT CTX Glut_2","005 L5 IT CTX Glut",0
"0078 L4/5 IT CTX Glut_2","005 L5 IT CTX Glut",0
"0083 L4/5 IT CTX Glut_3","005 L5 IT CTX Glut",0
"0084 L4/5 IT CTX Glut_3","005 L5 IT CTX Glut",0.463333333333333
"0090 L4/5 IT CTX Glut_4","005 L5 IT CTX Glut",0.038961038961039
"0091 L4/5 IT CTX Glut_4","005 L5 IT CTX Glut",0
"0094 L4/5 IT CTX Glut_4","005 L5 IT CTX Glut",0
"0096 L4/5 IT CTX Glut_5","005 L5 IT CTX Glut",0
"0098 L4/5 IT CTX Glut_5","005 L5 IT CTX Glut",0.0162162162162162
"0099 L4/5 IT CTX Glut_5","005 L5 IT CTX Glut",0
"0104 L2/3 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0105 L2/3 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0106 L2/3 IT CTX Glut_1","005 L5 IT CTX Glut",0
"0109 L2/3 IT CTX Glut_2","005 L5 IT CTX Glut",0.00333333333333333
"0351 L5 ET CTX Glut_1","005 L5 IT CTX Glut",0
"0352 L5 ET CTX Glut_1","005 L5 IT CTX Glut",0
"0361 L5 ET CTX Glut_2","005 L5 IT CTX Glut",0
"0362 L5 ET CTX Glut_2","005 L5 IT CTX Glut",0
"0377 L5 ET CTX Glut_5","005 L5 IT CTX Glut",0
"0379 L5 ET CTX Glut_5","005 L5 IT CTX Glut",0
"0421 L6b CTX Glut_1","005 L5 IT CTX Glut",0
"0430 L6b CTX Glut_3","005 L5 IT CTX Glut",0
"0433 L6 CT CTX Glut_1","005 L5 IT CTX Glut",0
"0436 L6 CT CTX Glut_1","005 L5 IT CTX Glut",0
"0439 L6 CT CTX Glut_2","005 L5 IT CTX Glut",0
"0440 L6 CT CTX Glut_2","005 L5 IT CTX Glut",0
"0441 L6 CT CTX Glut_2","005 L5 IT CTX Glut",0
"0445 L6 CT CTX Glut_3","005 L5 IT CTX Glut",0
"0449 L6 CT CTX Glut_5","005 L5 IT CTX Glut",0
"0452 L6 CT CTX Glut_5","005 L5 IT CTX Glut",0
"0461 L5 NP CTX Glut_2","005 L5 IT CTX Glut",0
"0463 L5 NP CTX Glut_2","005 L5 IT CTX Glut",0
"0465 L5 NP CTX Glut_3","005 L5 IT CTX Glut",0
