"query","split_at","child","vote","child_auroc","is_best","is_second","auc_gap","sib_lo","par_lo","margin_pass","override","decision","true_path","case"
"039 Lamp5 Gaba","root","class:32 Immune",0,0.833481176033515,FALSE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","class:04 CGE GABA","subclass:036 Vip Gaba",0.00105932203389831,0.915015071128989,FALSE,TRUE,0.0846972674977954,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","class:04 CGE GABA","subclass:037 Sncg Gaba",0,0.925700868681179,FALSE,FALSE,0.0846972674977954,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","class:04 CGE GABA","subclass:039 Lamp5 Gaba",0.998940677966102,0.999712338626784,TRUE,FALSE,0.0846972674977954,NA,NA,FALSE,TRUE,"descend",TRUE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","subclass:039 Lamp5 Gaba","supertype:0148 Lamp5 Gaba_1",0.953389830508475,0.999655267733702,TRUE,FALSE,0.0366824419040375,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","subclass:039 Lamp5 Gaba","supertype:0149 Lamp5 Gaba_2",0.0455508474576271,0.962972825829664,FALSE,TRUE,0.0366824419040375,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","supertype:0148 Lamp5 Gaba_1","0580 Lamp5 Gaba_1",0.225635593220339,0.999861936582904,FALSE,FALSE,0.000587358787152215,0.000401279090107431,NA,FALSE,FALSE,"stop",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","supertype:0148 Lamp5 Gaba_1","0581 Lamp5 Gaba_1",0.356991525423729,0.998994940449683,FALSE,TRUE,0.000587358787152215,0.000401279090107431,NA,FALSE,FALSE,"stop",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","supertype:0148 Lamp5 Gaba_1","0582 Lamp5 Gaba_1",0.370762711864407,0.999582299236835,TRUE,FALSE,0.000587358787152215,0.000401279090107431,NA,FALSE,FALSE,"stop",FALSE,"Lamp5 forward miss (one level deep)"
"301 Endo NN","root","class:01 IT-ET Glut",0.0101010101010101,0.198117371824582,FALSE,TRUE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:02 NP-CT-L6b Glut",0.0101010101010101,0.551704453493419,FALSE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:04 CGE GABA",0,0.609265451308423,FALSE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:05 MGE GABA",0,0.661660302956734,FALSE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:06 CNU GABA",0,0.620010419195598,FALSE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:28 Astro-Epen",0,0.956230642182936,FALSE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:29 Oligo",0,0.925768978937224,FALSE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:31 Vascular",0.97979797979798,0.997483023976105,TRUE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",TRUE,"Endo forward miss (one level shallow)"
"301 Endo NN","root","class:32 Immune",0,0.982587160755405,FALSE,FALSE,0.799365652151522,NA,NA,FALSE,TRUE,"descend",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","class:31 Vascular","subclass:299 Peri NN",0.0808080808080808,0.989435505822978,FALSE,TRUE,0.0102633214887403,0.00649581209031324,NA,FALSE,FALSE,"stop",FALSE,"Endo forward miss (one level shallow)"
"301 Endo NN","class:31 Vascular","subclass:301 Endo NN",0.898989898989899,0.999698827311719,TRUE,FALSE,0.0102633214887403,0.00649581209031324,NA,FALSE,FALSE,"stop",TRUE,"Endo forward miss (one level shallow)"
