"row","col","value"
"287 Astro-TE NN","0054 L6 IT CTX Glut_5",0
"294 OPC NN","0054 L6 IT CTX Glut_5",0
"295 Oligo NN","0054 L6 IT CTX Glut_5",0
"299 Peri NN","0054 L6 IT CTX Glut_5",0
"301 Endo NN","0054 L6 IT CTX Glut_5",0
"302 Microglia NN","0054 L6 IT CTX Glut_5",0
"001 Car3 Glut","0055 L5 IT CTX Glut_1",0
"003 L5/6 IT TPE-ENT Glut","0055 L5 IT CTX Glut_1",0
"004 L6 IT CTX Glut","0055 L5 IT CTX Glut_1",0.0143410852713178
"005 L5 IT CTX Glut","0055 L5 IT CTX Glut_1",0.353808353808354
"006 L4/5 IT CTX Glut","0055 L5 IT CTX Glut_1",0.00658414537792994
"007 L2/3 IT CTX Glut","0055 L5 IT CTX Glut_1",0.00534283170080142
"022 L5 ET CTX Glut","0055 L5 IT CTX Glut_1",0
"027 L6b CTX Glut","0055 L5 IT CTX Glut_1",0
"028 L6 CT CTX Glut","0055 L5 IT CTX Glut_1",0
"030 L5 NP CTX Glut","0055 L5 IT CTX Glut_1",0.000890471950133571
"036 Vip Gaba","0055 L5 IT CTX Glut_1",0
"037 Sncg Gaba","0055 L5 IT CTX Glut_1",0
"039 Lamp5 Gaba","0055 L5 IT CTX Glut_1",0
"041 Pvalb chandelier Gaba","0055 L5 IT CTX Glut_1",0
"042 Pvalb Gaba","0055 L5 IT CTX Glut_1",0
"043 Sst Gaba","0055 L5 IT CTX Glut_1",0
"046 Sst Chodl Gaba","0055 L5 IT CTX Glut_1",0
"287 Astro-TE NN","0055 L5 IT CTX Glut_1",0
"294 OPC NN","0055 L5 IT CTX Glut_1",0
"295 Oligo NN","0055 L5 IT CTX Glut_1",0
"299 Peri NN","0055 L5 IT CTX Glut_1",0
"301 Endo NN","0055 L5 IT CTX Glut_1",0
"302 Microglia NN","0055 L5 IT CTX Glut_1",0
"001 Car3 Glut","0056 L5 IT CTX Glut_1",0
"003 L5/6 IT TPE-ENT Glut","0056 L5 IT CTX Glut_1",0
"004 L6 IT CTX Glut","0056 L5 IT CTX Glut_1",0.00891472868217054
"005 L5 IT CTX Glut","0056 L5 IT CTX Glut_1",0.135135135135135
"006 L4/5 IT CTX Glut","0056 L5 IT CTX Glut_1",0.00500395048722676
"007 L2/3 IT CTX Glut","0056 L5 IT CTX Glut_1",0
"022 L5 ET CTX Glut","0056 L5 IT CTX Glut_1",0
"027 L6b CTX Glut","0056 L5 IT CTX Glut_1",0
"028 L6 CT CTX Glut","0056 L5 IT CTX Glut_1",0
"030 L5 NP CTX Glut","0056 L5 IT CTX Glut_1",0
"036 Vip Gaba","0056 L5 IT CTX Glut_1",0
"037 Sncg Gaba","0056 L5 IT CTX Glut_1",0
"039 Lamp5 Gaba","0056 L5 IT CTX Glut_1",0
"041 Pvalb chandelier Gaba","0056 L5 IT CTX Glut_1",0
"042 Pvalb Gaba","0056 L5 IT CTX Glut_1",0
"043 Sst Gaba","0056 L5 IT CTX Glut_1",0
